,ACTIVITY DATE,FACILITY ID,FACILITY NAME,PROGRAM STATUS,PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY ZIP,SCORE,GRADE
198719,2018-09-25,FA0223631,THE SECRET,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,3950 BEVERLY BLVD,LOS ANGELES,90004,95,A
197595,2018-09-20,FA0171559,SWEETFIN,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,829 BROADWAY,SANTA MONICA,90401-3500,94,A
183723,2018-07-25,FA0243036,TANDOORI NIGHTS ASSAM INDIAN KITCHEN,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,10719 BURBANK BLVD,NORTH HOLLYWOOD,91601,90,A
167914,2018-05-17,FA0159892,HYATT REGENCY LAX,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,6225 W CENTURY BLVD,LOS ANGELES,90045,97,A
169387,2018-05-24,FA0063087,GYU KAKU RESTAURANT,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,163 N LA CIENEGA BLVD,BEVERLY HILLS,90211,90,A
185591,2018-08-02,FA0158561,KHUN MOO THAI KITCHEN,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,8674 LINDLEY AVE,NORTHRIDGE,91325-3318,92,A
142041,2018-01-30,FA0021867,LETTE LITTLE TOKYO,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,107 E JAPANESE VILLAGE WAY,LOS ANGELES,90012,94,A
185358,2018-08-01,FA0052886,UNIQUE PASTRY,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,18381 VENTURA BLVD,TARZANA,91356,91,A
183313,2018-07-25,FA0174933,BIG MAMA'S & PAP'S PIZZERIA,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,8323 RESEDA BLVD # 101,NORTHRIDGE,91324,91,A
180644,2018-07-16,FA0011553,DONUTS AND DELITES,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,14350 VICTORY BLVD # A,VAN NUYS,91401,93,A
184429,2018-07-30,FA0059349,CASTILLO MEXICAN RESTAURANT,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,18904 ROSCOE BLVD,NORTHRIDGE,91324,96,A
162518,2018-04-26,FA0041943,ZELO PIZZERIA,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,328 E FOOTHILL BLVD,ARCADIA,91006,91,A
175713,2018-06-20,FA0257316,SHAKE SHACK,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,400 W 8TH ST,LOS ANGELES,90014,100,A
169217,2018-05-23,FA0036336,TAP ROOM,ACTIVE,RESTAURANT (61-150) SEATS LOW RISK,545 S FIGUEROA ST,LOS ANGELES,90015,95,A
178555,2018-07-05,FA0165492,LA PESCADORA,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,7039 GREENLEAF AVE,WHITTIER,90602,98,A
172499,2018-06-07,FA0255226,JANET'S MEDITERRANEAN CUISINE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,1402 E HUNTINGTON DR,DUARTE,91010,93,A
194287,2018-09-10,FA0163886,WOWBENTO AND ROLL,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,3231 FOOTHILL BLVD,GLENDALE,91214,92,A
182640,2018-07-23,FA0047222,S & K SNACK SHOP,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,800 S MAPLE AVE STE 106,LOS ANGELES,90014,91,A
194250,2018-09-10,FA0051330,TEA STATION,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,9578 LAS TUNAS DR,TEMPLE CITY,91780,92,A
187650,2018-08-09,FA0055850,ZENDEJAS MEXICAN REST,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,665 W ARROW HWY,SAN DIMAS,91773,94,A
177096,2018-06-26,FA0225110,SQUIZ UP,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,6000 SEPULVEDA BLVD SPC 9220,CULVER CITY,90230-6467,90,A
193822,2018-09-06,FA0073341,VENICE GRIND,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,12224 VENICE BLVD,LOS ANGELES,90066,95,A
178699,2018-07-05,FA0074437,ZOGO CHARBROIL BURGER,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,3265 TWEEDY BLVD,SOUTH GATE,90280,95,A
112957,2017-09-12,FA0048038,SLUSHEELAND,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,6005 VINELAND AVE STE #105,NORTH HOLLYWOOD,91606,96,A
196656,2018-09-18,FA0264524,THE MERMAID LLC,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,428 E 2ND ST,LOS ANGELES,90012,95,A
